server,mp_learning_rate,mp_weight_decay,mp_drop_prob,mp_noise_prob,mp_train_batch_size,mp_test_batch_size,mp_test_masking_rate,mp_num_epochs,mp_optimizer,mp_activation,mp_hidden_layers,mp_aug_step,mp_aug_step_floor,mp_decoder_constraint,mp_normalize_data,mp_last_layer_activations,mp_prediction_floor,mp_loss_size_average,dp_test_split_rate,dp_pivot_indexes,_RMSE,_learn_time,1m
sheng,0.0001,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.907859739,139.827328,
dai,0.001,0.005,0.2,0.5,64,5,0.4,8,rmsprop,elu,"[4096, 2048, 1024, 8]",0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,"[1, 0]",0.908194296,284.7423365,
dai,0.1,0.1,0.6,0.1,1024,6,0.3,4,adam,relu6,"[4, 64, 512, 512, 4096]",2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"[1, 0]",0.908497366,26.47716594,
dai,0.005,0.1,0.7,0.4,16,10,0.8,1,adam,elu,"[256, 32, 2, 32]",0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.4,"[1, 0]",0.909102216,13.64450049,
dai,0.001,0.01,0.1,0.1,128,9,0.7,8,rmsprop,lrelu,64,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"[1, 0]",0.909116247,46.39090109,
dai,0.0001,0.01,0.9,0.2,512,7,0.3,10,adam,relu,"[1024, 2048, 512, 4]",2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.3,"[1, 0]",0.909594145,72.77588677,
dai,0.01,0.1,0.6,0.4,4,8,0.5,4,rmsprop,elu,"[2, 4, 8, 2]",0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.4,"[1, 0]",0.90966127,135.195039,
dai,0.01,0.001,0,0.1,8,10,0.8,8,adam,relu,"[2, 512, 8, 128, 64]",3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.1,"[1, 0]",0.909913296,502.4858112,
dai,0.001,0.001,0.9,0.5,512,8,0.8,1,sgd,relu,"[128, 128]",1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.1,"[1, 0]",0.910357073,5.281871319,
dai,0.1,0.1,0.1,0.4,8,1,0.7,2,sgd,swish,"[2, 32, 64, 64, 2048]",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1,"[1, 0]",0.910531215,109.5519416,
dai,0.0001,0.001,0,0,128,5,0.9,8,adam,sigmoid,"[16, 128]",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.2,"[1, 0]",0.910727731,43.51487875,
